project_id,project_type,material_type,region,wind_exposure,technical_complexity,design_repetition,installation_model,actual_margin_percent,outcome,notes
UK-WIN-025,Windows + Doors,Aluminium,Inland,Low,Low,New,Client installs,21.3,Completed profitably,"Primary School: Fixed window, Window, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-026,Windows + Doors,Aluminium,Urban,Low,Low,Repeated,Company installs,24.8,Completed profitably,"Residential Block: Fixed window, Window, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-027,Facade + Windows,Aluminium,Urban,Medium,Medium,Partially similar,Client installs,18.1,Completed profitably,"Office Building: Facade, Fixed window, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-028,Windows + Sliding Doors,Aluminium,Coastal,High,High,New,Company installs,7.4,Margin pressure,"Hotel Renovation: Fixed window, Double Sliding door, Single door. Coating: Qualicoat Seaside."
UK-FAC-029,Facade + Sliding Doors,Aluminium,Urban,Low,Medium,Partially similar,Company installs,17.8,Acceptable with issues,"Shopping Centre: Facade, Triple Sliding door, Folding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-030,Windows + Doors,Aluminium,Inland,Low,Low,Repeated,Company installs,19.9,Acceptable with issues,"School Building: Fixed window, Window, Double door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-031,Windows + Doors,Aluminium,Urban,Medium,Medium,Repeated,Client installs,16.9,Completed profitably,"Hospital Wing: Fixed window, Double door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-032,Windows + Facade,Aluminium,Coastal,High,High,Partially similar,Company installs,7.2,High risk realized,"Coastal Apartments: Fixed window, Facade, Single door. Coating: Qualicoat Seaside."
UK-FAC-033,Facade + Folding Doors,Aluminium,Urban,Low,Low,Repeated,Company installs,17.3,Completed profitably,"Restaurant: Facade, Folding door, Fixed window. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-034,Windows + Sliding Doors,Aluminium,Industrial,Medium,Low,Repeated,Company installs,19.7,Completed profitably,"Warehouse Office: Window, Double Sliding door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-035,Windows + Doors,Aluminium,Mountain,High,High,Repeated,Client installs,7.6,High risk realized,"Mountain Lodge: Fixed window, Triple Sliding door, Double door. Coating: Qualicoat Class 2."
UK-FAC-036,Facade + Doors,Aluminium,Urban,Low,Medium,Repeated,Company installs,16.6,Completed profitably,"Retail Unit: Facade, Folding door, Double Sliding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-037,Facade + Windows,Aluminium,Urban,Low,Medium,Partially similar,Mixed installation,19.3,Completed profitably,"University Library: Facade, Fixed window, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-038,Facade + Sliding Doors,Aluminium,Inland,Medium,Medium,Repeated,Company installs,17.5,Acceptable with issues,"Sports Centre: Facade, Triple Sliding door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-039,Facade + Windows,Aluminium,Coastal,High,High,Repeated,Company installs,6.7,Margin pressure,"Coastal Office: Facade, Fixed window, Double Sliding door. Coating: Qualicoat Seaside."
UK-FAC-040,Facade + Folding Doors,Aluminium,Urban,Low,Low,Repeated,Company installs,16.4,Completed profitably,"Car Showroom: Facade, Folding door, Fixed window, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-041,Windows + Doors,Aluminium,Urban,Low,Medium,Repeated,Company installs,19.5,Completed profitably,"Government Office: Fixed window, Window, Double door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-042,Windows + Sliding Doors,Aluminium,Industrial,High,High,Repeated,Mixed installation,9.4,Margin pressure,"Industrial Plant: Window, Triple Sliding door, Double Sliding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-043,Windows + Folding Doors,Aluminium,Coastal,Medium,Medium,New,Company installs,13.2,Acceptable with issues,"Boutique Hotel: Fixed window, Folding door, Double Sliding door. Coating: Qualicoat Seaside."
UK-WIN-044,Windows + Doors,Aluminium,Inland,Low,Low,Partially similar,Mixed installation,18.6,Completed profitably,"Community Centre: Fixed window, Double door, Folding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-045,Facade + Sliding Doors,Aluminium,Coastal,High,High,Repeated,Company installs,6.6,High risk realized,"Ferry Terminal: Facade, Triple Sliding door, Double Sliding door, Single door. Coating: Qualicoat Seaside."
UK-WIN-046,Windows + Doors,Aluminium,Urban,Low,Low,Repeated,Company installs,20.4,Completed profitably,"Apartment Block: Fixed window, Window, Single door, Double door. Coating: Pre-anodized + Qualicoat Class 1."
UK-FAC-047,Facade + Windows,Aluminium,Urban,Low,Medium,Repeated,Mixed installation,15.1,Completed profitably,"Museum: Facade, Fixed window, Folding door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-048,Windows + Sliding Doors,Aluminium,Industrial,Medium,Low,Repeated,Mixed installation,17.9,Completed profitably,"Factory Office: Window, Double Sliding door, Single door. Coating: Pre-anodized + Qualicoat Class 1."
UK-WIN-049,Windows + Sliding Doors,Aluminium,Mountain,High,High,Repeated,Company installs,9.2,High risk realized,"Mountain Resort: Fixed window, Triple Sliding door, Folding door. Coating: Qualicoat Class 2."
UK-WIN-050,Windows + Doors,Aluminium,Inland,Low,Low,Repeated,Company installs,22.9,Completed profitably,"Primary School: Fixed window, Window, Double door. Coating: Pre-anodized + Qualicoat Class 1."
